enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
14569,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,68,1.0
14732,city_28,0.939,Male,No relevent experience,no_enrollment,Phd,STEM,4,,Public Sector,1,13,0.0
6007,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,8,0.0
26203,city_46,0.762,,No relevent experience,no_enrollment,Graduate,STEM,3,10/49,Pvt Ltd,2,110,1.0
436,city_11,0.55,,No relevent experience,Part time course,Graduate,STEM,4,,,,4,0.0
1794,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Public Sector,2,42,0.0
15753,city_11,0.55,Male,Has relevent experience,,Graduate,STEM,2,10/49,Pvt Ltd,1,3,1.0
9492,city_103,0.92,,No relevent experience,no_enrollment,Masters,STEM,6,,,2,12,1.0
11271,city_30,0.698,Male,Has relevent experience,Part time course,Graduate,STEM,5,50-99,Pvt Ltd,2,6,0.0
18636,city_11,0.55,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Public Sector,>4,107,0.0
10596,city_67,0.855,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,30,0.0
21186,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,6,,,never,85,0.0
16412,city_114,0.926,Male,No relevent experience,Full time course,High School,,9,100-500,Pvt Ltd,1,5,0.0
15039,city_103,0.92,,Has relevent experience,Part time course,Masters,Arts,10,50-99,NGO,2,146,0.0
20613,city_37,0.794,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,36,0.0
10150,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,2,166,0.0
29644,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,500-999,,1,44,0.0
1234,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,2,67,0.0
12224,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,59,1.0
