,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
6578,22505,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,2,47,1.0
2189,14580,city_28,0.939,Other,No relevent experience,Full time course,High School,,3,100-500,Pvt Ltd,3,17,0.0
575,24981,city_45,0.89,,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,,62,0.0
16167,495,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,15,5000-9999,Pvt Ltd,1,31,0.0
11764,4883,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,3,,Pvt Ltd,never,16,0.0
16604,2833,city_103,0.92,Male,Has relevent experience,Full time course,Masters,STEM,11,10000+,Pvt Ltd,2,34,0.0
18490,30204,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,4,,,1,52,1.0
12349,21007,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,135,0.0
16504,4760,city_103,0.92,Male,No relevent experience,Full time course,High School,,8,,,1,118,1.0
4968,27737,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,,,>4,110,1.0
9942,5404,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,69,0.0
6017,23375,city_21,0.624,Male,No relevent experience,Full time course,High School,,4,,,never,78,1.0
16120,22864,city_9,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,278,0.0
9977,30415,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,,,1,15,0.0
8465,27618,city_104,0.924,Male,No relevent experience,Full time course,Masters,STEM,9,100-500,Public Sector,1,45,1.0
13540,1927,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,,19,10000+,Pvt Ltd,3,14,0.0
9113,1037,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,2,14,0.0
10143,25254,city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Pvt Ltd,1,4,1.0
15117,21168,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,125,0.0
7814,16332,city_136,0.897,,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Public Sector,3,40,1.0
13044,26435,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,4,,,never,32,0.0
11229,5486,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,9,50-99,Funded Startup,1,198,0.0
11281,22728,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,17,100-500,Pvt Ltd,1,64,0.0
8958,14399,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,17,100-500,Funded Startup,>4,14,0.0
11907,18016,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,1,6,0.0
12888,18213,city_91,0.691,,No relevent experience,no_enrollment,,,1,,,never,226,0.0
9475,32252,city_67,0.855,Male,No relevent experience,Full time course,High School,,4,,Pvt Ltd,1,4,0.0
18750,2388,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,4,1.0
16973,8502,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,,1,10,0.0
17408,26806,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,2,66,0.0
7569,32832,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Pvt Ltd,1,21,0.0
5854,10546,city_70,0.698,Male,No relevent experience,Full time course,High School,,10,10/49,Early Stage Startup,1,102,1.0
16128,22156,city_59,0.775,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,2,108,0.0
17311,3968,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,,Pvt Ltd,never,56,0.0
11297,19063,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,76,1.0
937,1161,city_103,0.92,Other,No relevent experience,Full time course,Graduate,STEM,6,,,2,82,0.0
17405,29082,city_114,0.926,Male,No relevent experience,Full time course,High School,,7,500-999,Pvt Ltd,1,33,0.0
2011,2052,city_97,0.925,Male,Has relevent experience,Part time course,Masters,STEM,9,50-99,Pvt Ltd,4,52,0.0
3332,26136,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,Business Degree,2,5000-9999,Pvt Ltd,2,42,0.0
12844,8393,city_98,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,39,0.0
13700,5847,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,11,,,2,146,0.0
12059,25260,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Public Sector,>4,38,0.0
2743,22006,city_102,0.804,Male,No relevent experience,Full time course,Graduate,STEM,4,,,never,54,0.0
11616,15790,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,132,0.0
18009,27653,city_89,0.925,Male,No relevent experience,Full time course,Graduate,Humanities,2,,,1,68,0.0
18657,3461,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,>4,45,0.0
10704,25883,city_104,0.924,Male,Has relevent experience,Full time course,High School,,13,50-99,Pvt Ltd,1,48,1.0
15995,8421,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,10,0.0
778,13870,city_36,0.893,Male,Has relevent experience,Full time course,High School,,9,,,2,68,0.0
1216,29918,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,>20,,,1,8,1.0
