enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
7509,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,36,0.0
75,city_105,0.794,Male,No relevent experience,no_enrollment,High School,,3,,Pvt Ltd,never,14,0.0
9476,city_114,0.926,Female,No relevent experience,Full time course,Graduate,STEM,2,,,2,125,0.0
16480,city_71,0.884,Male,No relevent experience,Full time course,Graduate,STEM,2,,,1,20,0.0
15048,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,46,0.0
22018,city_91,0.691,Male,Has relevent experience,Full time course,Graduate,STEM,6,,,1,60,1.0
9736,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,7,,,>4,109,1.0
28374,city_76,0.698,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10/49,Pvt Ltd,>4,16,0.0
884,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,5,,Public Sector,1,101,0.0
11037,city_71,0.884,Male,Has relevent experience,no_enrollment,High School,,10,,,1,96,0.0
25369,city_162,0.767,,Has relevent experience,no_enrollment,High School,,>20,50-99,Pvt Ltd,,102,0.0
8088,city_75,0.939,Female,No relevent experience,Part time course,Graduate,STEM,9,,,never,9,1.0
2720,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,7,<10,Early Stage Startup,1,4,0.0
24337,city_114,0.926,,No relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,never,68,0.0
28318,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,2,12,0.0
27704,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,never,55,0.0
4686,city_61,0.913,Other,Has relevent experience,Part time course,Graduate,STEM,7,10000+,Pvt Ltd,1,145,1.0
26477,city_67,0.855,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,1,240,0.0
27402,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,3,,,never,96,0.0
27918,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,,,>4,22,0.0
31601,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,166,0.0
8223,city_84,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,89,0.0
11354,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,25,0.0
13554,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,96,0.0
4380,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,18,0.0
18760,city_145,0.555,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,,1,24,1.0
32948,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,2,33,0.0
4692,city_152,0.698,,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,3,51,0.0
23961,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,1,46,0.0
20095,city_90,0.698,Male,Has relevent experience,Full time course,Masters,STEM,18,50-99,Pvt Ltd,>4,48,1.0
8633,city_16,0.91,Male,No relevent experience,Full time course,High School,,5,,,1,67,1.0
28829,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,1,74,1.0
18041,city_133,0.742,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,127,0.0
31288,city_84,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,15,0.0
5443,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Funded Startup,1,96,0.0
20043,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,,,4,46,0.0
6210,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,11,10000+,Pvt Ltd,>4,42,0.0
8150,city_45,0.89,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,192,0.0
1602,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,4,,,1,75,1.0
24885,city_21,0.624,Female,Has relevent experience,,Graduate,STEM,3,100-500,Pvt Ltd,1,52,0.0
24855,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Public Sector,1,4,0.0
17420,city_117,0.698,,No relevent experience,no_enrollment,Graduate,STEM,6,,,never,106,1.0
15621,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,76,0.0
19768,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,64,1.0
7235,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,19,50-99,Funded Startup,3,19,0.0
17344,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,34,1.0
7334,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,3,43,0.0
6447,city_160,0.92,Male,No relevent experience,Full time course,High School,,8,100-500,Public Sector,2,48,0.0
14680,city_21,0.624,Male,No relevent experience,no_enrollment,,,3,,,never,111,0.0
8597,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,never,153,1.0
28262,city_45,0.89,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,1,37,0.0
27052,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Funded Startup,>4,96,0.0
25207,city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,6,10000+,Pvt Ltd,>4,57,0.0
31109,city_8,0.698,Male,No relevent experience,Part time course,,,4,,,2,70,0.0
563,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Early Stage Startup,1,9,0.0
6532,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,8,500-999,Pvt Ltd,never,44,0.0
25725,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,6,10000+,Public Sector,1,9,0.0
18993,city_21,0.624,Male,No relevent experience,Full time course,High School,,5,50-99,Funded Startup,1,316,1.0
2265,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,5,0.0
4030,city_16,0.91,Male,Has relevent experience,Full time course,Masters,STEM,7,1000-4999,NGO,3,114,0.0
2157,city_10,0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,<10,Pvt Ltd,>4,82,0.0
8928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10/49,Pvt Ltd,2,110,0.0
18732,city_50,0.8959999999999999,Male,No relevent experience,Full time course,Masters,STEM,7,50-99,Public Sector,1,54,0.0
24950,city_142,0.727,Male,No relevent experience,Part time course,Graduate,STEM,2,,,1,103,0.0
23618,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Public Sector,never,134,0.0
19760,city_93,0.865,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,3,14,0.0
31727,city_93,0.865,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,2,28,0.0
20740,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,,2,64,1.0
16254,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,,4,58,0.0
1938,city_165,0.903,,No relevent experience,no_enrollment,Primary School,,12,,,,15,0.0
8177,city_173,0.878,,Has relevent experience,no_enrollment,High School,,6,,,1,85,0.0
27602,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,3,34,0.0
12121,city_144,0.84,Male,No relevent experience,no_enrollment,High School,,3,,,never,14,0.0
18272,city_160,0.92,,Has relevent experience,Full time course,Graduate,Business Degree,>20,,,>4,90,1.0
27732,city_46,0.762,Male,No relevent experience,Full time course,High School,,2,,,never,40,0.0
12044,city_71,0.884,,Has relevent experience,no_enrollment,Masters,STEM,12,,,>4,19,1.0
3746,city_67,0.855,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,never,55,0.0
33195,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,14,1.0
22484,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,4,204,0.0
3406,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,39,0.0
28991,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,,1,17,1.0
17213,city_16,0.91,,No relevent experience,no_enrollment,Graduate,Other,14,50-99,Pvt Ltd,>4,116,1.0
5182,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,Humanities,8,,,4,19,1.0
12466,city_71,0.884,,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Funded Startup,2,64,0.0
14729,city_16,0.91,Female,No relevent experience,Full time course,High School,,2,,,1,5,0.0
22394,city_114,0.926,,Has relevent experience,Full time course,Masters,STEM,5,<10,Early Stage Startup,1,24,0.0
30458,city_142,0.727,,No relevent experience,Part time course,Graduate,STEM,6,,,,110,1.0
7039,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,79,0.0
29447,city_28,0.939,Male,No relevent experience,no_enrollment,Phd,STEM,>20,100-500,Public Sector,>4,46,0.0
19749,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10/49,Pvt Ltd,>4,176,0.0
2103,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,20,1.0
4070,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,4,0.0
5687,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,20,0.0
6845,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,1,64,0.0
17942,city_67,0.855,Female,Has relevent experience,Full time course,Graduate,STEM,8,50-99,Pvt Ltd,2,66,0.0
12222,city_16,0.91,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,43,0.0
29191,city_46,0.762,Male,No relevent experience,no_enrollment,Graduate,Humanities,12,10000+,Public Sector,>4,51,0.0
8071,city_100,0.887,,No relevent experience,Full time course,High School,,4,,,never,10,0.0
18914,city_103,0.92,Male,No relevent experience,Full time course,High School,,6,50-99,,1,8,1.0
27152,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,,2,90,1.0
24562,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,36,0.0
4888,city_67,0.855,Female,Has relevent experience,no_enrollment,Graduate,Other,3,100-500,Pvt Ltd,1,42,0.0
11930,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,67,0.0
22944,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,34,0.0
12516,city_71,0.884,,Has relevent experience,,,,>20,,Public Sector,>4,38,0.0
18410,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,1,,,1,126,0.0
29845,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,1,104,0.0
8871,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,12,500-999,Pvt Ltd,2,58,0.0
9452,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,28,0.0
16342,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,,,1,104,1.0
12179,city_44,0.725,,Has relevent experience,no_enrollment,Graduate,STEM,7,,,never,80,0.0
2053,city_67,0.855,Female,No relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Pvt Ltd,>4,51,0.0
5845,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,Business Degree,<1,10/49,Public Sector,1,102,1.0
