enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,city_development_index_cat
21151,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,2,16,0.0,6
14983,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,1,23,0.0,6
20517,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,Humanities,7,100-500,Pvt Ltd,3,37,0.0,5
28628,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,1,107,0.0,6
17777,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,2,,,never,42,0.0,6
30055,city_104,0.924,Male,No relevent experience,Part time course,Graduate,STEM,4,,,1,35,0.0,6
5554,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,22,0.0,6
16998,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,,1,133,0.0,6
29862,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,7,50-99,NGO,2,74,0.0,6
32974,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,6,1000-4999,,1,26,0.0,6
4468,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,22,0.0,6
30985,city_33,0.4479999999999999,,No relevent experience,Full time course,Graduate,STEM,2,,,never,43,1.0,1
28658,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,never,83,0.0,3
10476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,2,184,0.0,6
20548,city_136,0.897,,No relevent experience,Part time course,Graduate,STEM,5,,,,9,1.0,5
11349,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,1,33,0.0,5
