enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,city_development_index_cat
27633,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,3,81,0.0,6
13681,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,21,0.0,6
5164,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,>20,1000-4999,NGO,>4,28,0.0,6
19363,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,>4,46,0.0,6
30516,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,>4,94,0.0,6
17774,city_21,0.624,Male,Has relevent experience,,Graduate,STEM,4,,,1,16,0.0,3
1444,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,6,,,never,66,0.0,6
12113,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3,,,1,13,0.0,2
3708,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,>4,290,0.0,6
5248,city_21,0.624,Male,No relevent experience,Full time course,High School,,5,,Pvt Ltd,never,53,0.0,3
869,city_23,0.899,Male,Has relevent experience,no_enrollment,,,14,1000-4999,Pvt Ltd,2,51,0.0,5
8307,city_100,0.887,Male,No relevent experience,no_enrollment,Graduate,No Major,>20,100-500,Pvt Ltd,>4,21,0.0,5
31030,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Funded Startup,1,256,0.0,6
6042,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,1000-4999,NGO,>4,83,0.0,6
3023,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,2,145,0.0,6
13181,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,>4,70,0.0,6
20411,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Pvt Ltd,1,21,1.0,3
27738,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,35,0.0,6
16191,city_91,0.691,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,>4,40,1.0,3
15405,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,2,51,0.0,6
11664,city_50,0.8959999999999999,,No relevent experience,no_enrollment,High School,,2,100-500,Pvt Ltd,2,27,0.0,5
265,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,18,50-99,Pvt Ltd,4,36,0.0,6
27874,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,,102,1.0,3
23011,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,58,0.0,6
8336,city_123,0.738,,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Early Stage Startup,2,75,1.0,4
20350,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,134,0.0,3
21879,city_28,0.939,,No relevent experience,Part time course,Graduate,STEM,3,5000-9999,Pvt Ltd,2,72,0.0,6
47,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,14,0.0,6
16181,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,11,,,4,9,1.0,6
1618,city_21,0.624,,No relevent experience,Full time course,Primary School,,3,<10,Early Stage Startup,2,14,1.0,3
15054,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,3,56,1.0,6
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0.0,5
33125,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Funded Startup,1,24,0.0,6
11045,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,,,1,284,1.0,3
26610,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,104,0.0,6
26700,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,5000-9999,NGO,>4,40,0.0,6
6672,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Funded Startup,1,11,0.0,5
28196,city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,13,10000+,Pvt Ltd,1,51,0.0,6
4107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,,2,25,0.0,6
27725,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,4,33,1.0,6
22996,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Other,>20,1000-4999,Pvt Ltd,2,35,0.0,6
6063,city_67,0.855,,Has relevent experience,no_enrollment,Masters,STEM,15,500-999,Pvt Ltd,2,30,0.0,5
5292,city_74,0.579,,No relevent experience,Full time course,Graduate,Other,6,,,never,63,1.0,2
23661,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,5,,,>4,31,1.0,6
2306,city_77,0.83,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Public Sector,3,27,0.0,5
15204,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,Humanities,>20,<10,NGO,>4,88,0.0,6
2901,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,,6,50-99,Pvt Ltd,1,12,0.0,6
33153,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,Pvt Ltd,1,84,0.0,3
2138,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,1,23,0.0,5
7326,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,8,1.0,6
26479,city_134,0.698,Female,No relevent experience,,High School,,3,,,never,35,0.0,3
12160,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,11,0.0,6
12154,city_16,0.91,,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0.0,6
